type,vertices,heuristic,colors,time
90,50,DSATUR,23,89144
90,50,GREEDY,24,15330
90,50,WELSH_POWELL,24,41105
90,50,DSATUR,23,89595
90,50,GREEDY,24,15096
90,50,WELSH_POWELL,22,40635
90,50,DSATUR,24,89848
90,50,GREEDY,26,12860
90,50,WELSH_POWELL,26,38392
90,50,DSATUR,26,98515
90,50,GREEDY,26,14076
90,50,WELSH_POWELL,26,40540
90,50,DSATUR,24,85280
90,50,GREEDY,27,14711
90,50,WELSH_POWELL,25,41707
90,50,DSATUR,23,87824
90,50,GREEDY,25,14214
90,50,WELSH_POWELL,24,42349
90,50,DSATUR,23,90517
90,50,GREEDY,27,15385
90,50,WELSH_POWELL,24,40697
90,50,DSATUR,26,94147
90,50,GREEDY,26,16592
90,50,WELSH_POWELL,23,43573
90,50,DSATUR,24,93176
90,50,GREEDY,26,15065
90,50,WELSH_POWELL,25,41380
90,50,DSATUR,25,93431
90,50,GREEDY,25,15781
90,50,WELSH_POWELL,24,42345
90,50,DSATUR,22,90823
90,50,GREEDY,29,15292
90,50,WELSH_POWELL,25,42589
90,50,DSATUR,25,89713
90,50,GREEDY,27,15515
90,50,WELSH_POWELL,24,42915
90,50,DSATUR,25,94913
90,50,GREEDY,26,15871
90,50,WELSH_POWELL,23,42481
90,50,DSATUR,23,90360
90,50,GREEDY,29,15383
90,50,WELSH_POWELL,24,41220
90,50,DSATUR,24,94081
90,50,GREEDY,28,13142
90,50,WELSH_POWELL,25,39949
90,50,DSATUR,25,92943
90,50,GREEDY,25,14153
90,50,WELSH_POWELL,25,40161
90,50,DSATUR,25,86976
90,50,GREEDY,28,14210
90,50,WELSH_POWELL,24,39960
90,50,DSATUR,25,90742
90,50,GREEDY,28,13414
90,50,WELSH_POWELL,24,38835
90,50,DSATUR,24,91023
90,50,GREEDY,27,14887
90,50,WELSH_POWELL,26,39842
90,50,DSATUR,25,87960
90,50,GREEDY,28,15527
90,50,WELSH_POWELL,25,41263
90,50,DSATUR,24,84588
90,50,GREEDY,28,14292
90,50,WELSH_POWELL,24,36850
90,50,DSATUR,25,93096
90,50,GREEDY,27,15583
90,50,WELSH_POWELL,25,40771
90,50,DSATUR,26,99395
90,50,GREEDY,25,16166
90,50,WELSH_POWELL,25,43436
90,50,DSATUR,22,94594
90,50,GREEDY,27,14669
90,50,WELSH_POWELL,24,38839
90,50,DSATUR,24,89029
90,50,GREEDY,27,13648
90,50,WELSH_POWELL,25,39793
90,50,DSATUR,25,91041
90,50,GREEDY,27,14961
90,50,WELSH_POWELL,25,41937
90,50,DSATUR,25,90486
90,50,GREEDY,29,13384
90,50,WELSH_POWELL,27,38582
90,50,DSATUR,27,101435
90,50,GREEDY,28,14931
90,50,WELSH_POWELL,26,41692
90,50,DSATUR,25,87739
90,50,GREEDY,29,14373
90,50,WELSH_POWELL,25,39994
90,50,DSATUR,24,88509
90,50,GREEDY,26,14973
90,50,WELSH_POWELL,23,41452
90,50,DSATUR,25,87875
90,50,GREEDY,27,14502
90,50,WELSH_POWELL,24,41390
90,50,DSATUR,24,90061
90,50,GREEDY,25,16170
90,50,WELSH_POWELL,21,42098
90,50,DSATUR,21,91741
90,50,GREEDY,26,15046
90,50,WELSH_POWELL,25,40570
90,50,DSATUR,24,87762
90,50,GREEDY,29,14268
90,50,WELSH_POWELL,26,38737
90,50,DSATUR,26,94620
90,50,GREEDY,27,15013
90,50,WELSH_POWELL,26,41242
90,50,DSATUR,24,90005
90,50,GREEDY,25,14847
90,50,WELSH_POWELL,24,40659
90,50,DSATUR,24,86124
90,50,GREEDY,27,14069
90,50,WELSH_POWELL,24,41619
90,50,DSATUR,24,98259
90,50,GREEDY,24,15039
90,50,WELSH_POWELL,24,41991
90,50,DSATUR,22,91200
90,50,GREEDY,27,14676
90,50,WELSH_POWELL,26,40004
90,50,DSATUR,24,92475
90,50,GREEDY,28,14480
90,50,WELSH_POWELL,25,41359
90,50,DSATUR,24,93561
90,50,GREEDY,28,13975
90,50,WELSH_POWELL,24,38890
90,50,DSATUR,24,90117
90,50,GREEDY,27,14364
90,50,WELSH_POWELL,24,39533
90,50,DSATUR,23,88738
90,50,GREEDY,26,14434
90,50,WELSH_POWELL,24,39296
90,50,DSATUR,24,91716
90,50,GREEDY,25,15119
90,50,WELSH_POWELL,25,40877
90,50,DSATUR,24,88048
90,50,GREEDY,27,14766
90,50,WELSH_POWELL,24,40576
90,50,DSATUR,23,88687
90,50,GREEDY,27,15047
90,50,WELSH_POWELL,27,41365
90,50,DSATUR,25,85418
90,50,GREEDY,26,14552
90,50,WELSH_POWELL,24,39794
90,50,DSATUR,24,109263
90,50,GREEDY,26,14804
90,50,WELSH_POWELL,24,40174
90,50,DSATUR,23,87376
90,50,GREEDY,28,14206
90,50,WELSH_POWELL,26,39020
90,50,DSATUR,25,87617
90,50,GREEDY,26,15172
90,50,WELSH_POWELL,24,41241
90,50,DSATUR,24,89173
90,50,GREEDY,27,14557
90,50,WELSH_POWELL,25,39916
90,50,DSATUR,25,88155
90,50,GREEDY,28,12992
90,50,WELSH_POWELL,24,37928
90,50,DSATUR,25,85395
90,50,GREEDY,28,14047
90,50,WELSH_POWELL,27,40200
90,50,DSATUR,25,87417
90,50,GREEDY,24,14548
90,50,WELSH_POWELL,24,40613
90,50,DSATUR,23,86769
90,50,GREEDY,27,14942
90,50,WELSH_POWELL,25,40738
90,50,DSATUR,23,89659
90,50,GREEDY,25,15178
90,50,WELSH_POWELL,24,40572
90,50,DSATUR,24,87851
90,50,GREEDY,23,15607
90,50,WELSH_POWELL,23,41132
90,50,DSATUR,23,88754
90,50,GREEDY,24,15655
90,50,WELSH_POWELL,22,41337
90,50,DSATUR,24,90555
90,50,GREEDY,24,14267
90,50,WELSH_POWELL,23,40558
90,50,DSATUR,25,88801
90,50,GREEDY,26,14279
90,50,WELSH_POWELL,26,39871
90,50,DSATUR,25,88748
90,50,GREEDY,26,13599
90,50,WELSH_POWELL,24,38694
90,50,DSATUR,26,95030
90,50,GREEDY,27,14829
90,50,WELSH_POWELL,25,39492
90,50,DSATUR,24,92071
90,50,GREEDY,27,13977
90,50,WELSH_POWELL,24,40076
90,50,DSATUR,24,86416
90,50,GREEDY,24,14175
90,50,WELSH_POWELL,24,41637
90,50,DSATUR,23,90168
90,50,GREEDY,27,14369
90,50,WELSH_POWELL,23,40948
90,50,DSATUR,22,82477
90,50,GREEDY,26,13032
90,50,WELSH_POWELL,24,39674
90,50,DSATUR,24,87454
90,50,GREEDY,27,12257
90,50,WELSH_POWELL,25,39491
90,50,DSATUR,26,92972
90,50,GREEDY,26,13678
90,50,WELSH_POWELL,23,40386
90,50,DSATUR,23,88269
90,50,GREEDY,27,12722
90,50,WELSH_POWELL,23,40398
90,50,DSATUR,25,87876
90,50,GREEDY,28,11982
90,50,WELSH_POWELL,26,38809
90,50,DSATUR,24,85691
90,50,GREEDY,26,12624
90,50,WELSH_POWELL,26,39598
90,50,DSATUR,25,87054
90,50,GREEDY,26,13882
90,50,WELSH_POWELL,25,41576
90,50,DSATUR,24,89282
90,50,GREEDY,28,12792
90,50,WELSH_POWELL,24,39569
90,50,DSATUR,25,89106
90,50,GREEDY,28,12179
90,50,WELSH_POWELL,25,39204
90,50,DSATUR,24,86882
90,50,GREEDY,26,13266
90,50,WELSH_POWELL,25,40183
90,50,DSATUR,24,96492
90,50,GREEDY,27,12656
90,50,WELSH_POWELL,24,39700
90,50,DSATUR,24,90884
90,50,GREEDY,26,13120
90,50,WELSH_POWELL,24,39874
90,50,DSATUR,24,87790
90,50,GREEDY,27,12092
90,50,WELSH_POWELL,25,39384
90,50,DSATUR,25,90348
90,50,GREEDY,27,13376
90,50,WELSH_POWELL,25,40512
90,50,DSATUR,26,92987
90,50,GREEDY,25,13589
90,50,WELSH_POWELL,24,39990
90,50,DSATUR,23,88330
90,50,GREEDY,27,13142
90,50,WELSH_POWELL,25,40258
90,50,DSATUR,25,98691
90,50,GREEDY,26,14296
90,50,WELSH_POWELL,24,43130
90,50,DSATUR,23,118773
90,50,GREEDY,26,13727
90,50,WELSH_POWELL,25,42914
