type,vertices,heuristic,colors,time
10,50,WELSH_POWELL,5,31877
10,50,DSATUR,4,60580
10,50,GREEDY,4,10045
10,50,WELSH_POWELL,4,32700
10,50,DSATUR,4,62337
10,50,GREEDY,5,10292
10,50,WELSH_POWELL,4,33767
10,50,DSATUR,4,63967
10,50,GREEDY,5,9129
10,50,WELSH_POWELL,4,31126
10,50,DSATUR,4,59020
10,50,GREEDY,6,10421
10,50,WELSH_POWELL,4,32458
10,50,DSATUR,5,61437
10,50,GREEDY,6,9816
10,50,WELSH_POWELL,4,31854
10,50,DSATUR,4,60436
10,50,GREEDY,5,9552
10,50,WELSH_POWELL,4,31749
10,50,DSATUR,4,57636
10,50,GREEDY,5,9407
10,50,WELSH_POWELL,4,31113
10,50,DSATUR,4,58423
10,50,GREEDY,5,10018
10,50,WELSH_POWELL,5,31389
10,50,DSATUR,4,59362
10,50,GREEDY,5,9902
10,50,WELSH_POWELL,4,32223
10,50,DSATUR,4,60880
10,50,GREEDY,5,10728
10,50,WELSH_POWELL,5,33223
10,50,DSATUR,5,63694
10,50,GREEDY,5,10798
10,50,WELSH_POWELL,4,33578
10,50,DSATUR,4,62999
10,50,GREEDY,5,10536
10,50,WELSH_POWELL,5,32949
10,50,DSATUR,4,61998
10,50,GREEDY,6,10365
10,50,WELSH_POWELL,4,33067
10,50,DSATUR,5,65096
10,50,GREEDY,5,10324
10,50,WELSH_POWELL,4,32783
10,50,DSATUR,4,63463
10,50,GREEDY,6,10867
10,50,WELSH_POWELL,5,33761
10,50,DSATUR,4,64329
10,50,GREEDY,5,9516
10,50,WELSH_POWELL,5,31643
10,50,DSATUR,4,60079
10,50,GREEDY,5,9531
10,50,WELSH_POWELL,4,31364
10,50,DSATUR,4,60310
10,50,GREEDY,5,10488
10,50,WELSH_POWELL,5,32914
10,50,DSATUR,4,61802
10,50,GREEDY,5,10181
10,50,WELSH_POWELL,4,32566
10,50,DSATUR,4,62547
10,50,GREEDY,5,9568
10,50,WELSH_POWELL,5,32040
10,50,DSATUR,5,63324
10,50,GREEDY,5,9673
10,50,WELSH_POWELL,4,29904
10,50,DSATUR,4,57961
10,50,GREEDY,5,9453
10,50,WELSH_POWELL,4,31581
10,50,DSATUR,4,62894
10,50,GREEDY,5,9295
10,50,WELSH_POWELL,5,31222
10,50,DSATUR,4,61187
10,50,GREEDY,5,9350
10,50,WELSH_POWELL,4,30208
10,50,DSATUR,4,57354
10,50,GREEDY,5,10510
10,50,WELSH_POWELL,4,34181
10,50,DSATUR,4,61878
10,50,GREEDY,5,9434
10,50,WELSH_POWELL,4,29491
10,50,DSATUR,3,57949
10,50,GREEDY,5,9574
10,50,WELSH_POWELL,5,32367
10,50,DSATUR,4,60390
10,50,GREEDY,4,10276
10,50,WELSH_POWELL,4,64933
10,50,DSATUR,4,90196
10,50,GREEDY,5,9755
10,50,WELSH_POWELL,4,31183
10,50,DSATUR,4,57133
10,50,GREEDY,5,9962
10,50,WELSH_POWELL,5,32088
10,50,DSATUR,4,62913
10,50,GREEDY,6,9015
10,50,WELSH_POWELL,4,30762
10,50,DSATUR,4,59911
10,50,GREEDY,5,8935
10,50,WELSH_POWELL,4,35806
10,50,DSATUR,4,61188
10,50,GREEDY,5,9142
10,50,WELSH_POWELL,4,34036
10,50,DSATUR,4,60308
10,50,GREEDY,5,9005
10,50,WELSH_POWELL,4,34288
10,50,DSATUR,4,61655
10,50,GREEDY,5,8647
10,50,WELSH_POWELL,4,36679
10,50,DSATUR,3,61963
10,50,GREEDY,5,9646
10,50,WELSH_POWELL,4,38594
10,50,DSATUR,4,65021
10,50,GREEDY,4,8909
10,50,WELSH_POWELL,4,32182
10,50,DSATUR,3,55744
10,50,GREEDY,5,9962
10,50,WELSH_POWELL,5,34776
10,50,DSATUR,4,61549
10,50,GREEDY,5,9396
10,50,WELSH_POWELL,4,31397
10,50,DSATUR,4,61389
